,stripped,readable
40,time time subsidy cropping season amount supply need prepared season shortage rarely happen northern senegal,"From time to time there are subsidies for each cropping season; the amount of supplies needed is prepared for each season, and shortages are rarely happening in northern Senegal."
41,input well know prescribe sae,The inputs are well-known and prescribed by SAED.
42,might difference cropping season phyto chemical weed change year year sometimes right chemical short supply buy enough product type weed,"There might be differences between cropping seasons in phyto- chemicals, because weeds will change from year to year but sometimes the right chemicals are in short supply because they can't buy enough products for each type of weed."
43,know type problem crop buy right chemical,So they don't know what type of problem will crop up so they can't buy the right chemicals.
44,sometimes bank give credit late farmer want stay track season want use cultivar different normal supplier know ahead time seed shortage type cultivar desire,"Sometimes banks give out loans very late, and then the farmers want to stay on track for the season so they will want to use a cultivar that is different than normal but again, if the suppliers don't know this ahead of time, then there will be a seed shortage of the type of cultivar desired."
45,sae technical review previous season use agent throughout village head cooperative,SAED does a technical review of the previous season using agents throughout villages and heads of cooperatives.
46,sae use technique generate information year,SAED uses the same technique to generate information each year.
47,particularly bad year pest,"If there was a particularly bad year (pests, etc.)"
48,try fix problem information fairly consistent year year,they try to fix the problems but the information is fairly consistent from year to year.
49,sae information important season go well elasticity adapt something come cropping season,"SAED's information is important for the seasons to go well, but it doesn't have the elasticity to adapt when there's something that comes up during the cropping season."
50,system season adaptation,No system of in-season adaptation.
51,knowledge cooperative base tell cropping season look like planting occur day land preparation day apply fertilizer,"The knowledge that the cooperatives have is based on what they're told the cropping season should look like (e.g. sowing occurs 15 days after land preparation, 2 days after that they apply fertilizer, )."
52,fix information change climate farmer know transfer knowledge extension actually know important tell something weird consequential see harvest bad,"It's very fixed information for a changing climate, and the farmer knows this, but he can't transfer that knowledge to SAED because he doesn't actually know if it's important that is, you can't tell if something weird is consequential until you see if the harvest is bad or not."
53,sae respond well monitor information farmer know unusual non standard occurrence important extension,SAED doesn't respond well to monitoring information and farmers don't know if unusual or non-standard occurrences are important to SAED.
54,sae deliver information cooperative head field agent,SAED delivers information to each cooperative head through field agents.
55,cooperative head disseminate information farmer,Cooperative heads disseminate information to farmers.
56,platform information share farmer part cooperative might never get information,"No platform for information-sharing if a farmer isn't part of a cooperative, they might never get that information."
57,farmer trust information sae yes absolutely interest extension give right information farmer,"Farmers do trust the information from SAED ( yes, absolutely ) it's in the interest of SAED to give the right information to farmers."
58,farmer usually say information lack ask value sae information,Farmers usually say the information is lacking when asked how they value SAED information.
59,sae often come see farmer enough field agent,SAED doesn't often come to see the farmers because there aren't enough field agents.
60,farmer feel isolated information agent,Farmers feel isolated from information agents.
61,two method improve information system,Two methods of improving information systems:1.
62,even farmer home belong cooperative still get weekly visit field agent,"Even if the farmer is at home and doesn't belong to a cooperative, he should still get weekly visits from field agents."
63,,2
64,digital sms platform transfer information,Digital SMS platform to transfer information
65,farmer quite connected usually smartphone whatsapp,"Farmers are quite connected, they usually have smartphones with WhatsApp."
66,fear since many people connect information dilute seem important much information easily access,"The fear will be that since so many people are connected, the information will be diluted that it doesn't seem to be important if there's too much information that's easily accessed."
67,pape think good solution weekly round cooperative head field agent two way street information rather sae farmer,"Pape thinks the best solution is weekly rounds with coop heads from field agents, with a two-way street of information rather than just SAED-to-farmer."
68,second important actor besides extension bank buyer,Second most important actors besides SAED and the banks are the buyers.
69,give credit,They can also give loans!!
70,credit cover part farmer land buyer give credit cover rest,"If a loan only covers part of a farmer's land, the buyers will give loans to cover the rest."
71,interest rate vary,Interest rates vary from 15 - 20%.
72,farmer pay credit credit kind mortgage pay next season,"If farmers can't pay back a loan, they do a kind of mortgage that they pay off through the next season."
73,people get catch credit trap,People do get caught in loan traps.
74,farmer jump cooperative cooperative avoid situation,Some farmers jump from coop to coop to avoid this situation.
75,bank usually ask collateral bank bank,Banks usually don't ask for collateral for Banque Agricole
76,important cooperative guarantee payback,"it's not that important, because the coop guarantees payback."
77,buyer field agent,Buyers have field agents (!!!)
78,know area credit exist much rice need buy,who know about each area and what loans exist and how much rice needs buying.
79,end season field agent come ask payback,"At the end of the season, the field agent comes to ask for the payback."
80,sometimes formal contract always,There are sometimes formal contracts but not always.
81,field agent try come first farmer lot credit person come first prioritize likely actually credit,"The field agents try to come first because farmers have a lot of loans, and the person who comes first is prioritized more likely to actually be repaid."
82,buyer usually provide information farmer ask information monitor,Buyers usually don't provide information to farmers or ask for any information about monitoring.
83,buyer ask farmer access harvester ensure get help harvest land,"Buyers will ask if a farmer has access to a harvester, to ensure they can get help harvesting their land."
84,ngo usually work bank sae,NGOs usually work with the banks or with SAED.
85,pape never see work directly cooperative except case cooperative yield processing commerce,"Pape has never seen them working directly with cooperatives, except in the cases where the coops are doing more than production (e.g. processing and commerce)."
86,ngo directly involve yield processing commercialization,"NGOs aren't directly involved in production, only in processing and commercialization."
87,never see example ngo provide input tractor,Never seen an example where NGOs provides inputs or tractors.
88,middleman manufacturer seed fertilizer nobody else service provider transportation,"Other middlemen manufacturers of seeds and fertilizers, but nobody else other than service providers doing transportation"
89,pape perspective system quite well organized closed,Pape's perspective is that the system is quite well organized and very closed.
90,want enter provide service talk extension bank work farmer,"If you want to enter and provide services you have to talk to SAED and banks, you can't just work with farmers."
91,farmer talk someone extension farmer think scam,"If farmers talk to someone who isn't from SAED, farmers will think it's a scam."
92,pape think system work well closed fashion farmer liberty work private service provider,"Pape thinks the system works well in this closed fashion, but the farmers should have more liberty to work with private service providers."
93,farmer capacity know good ask,Farmers have capacity to know what's good for them and to ask for it.
94,allow freedom farmer would help system grow,Allowing more freedoms for farmers would help the system grow.
95,farmer new seed service would reduce cost increase growth,"If farmers can have new seeds and services, it would reduce costs and increase growth."
96,farmer information season lot consequence,Farmers' information about a season can have a lot of consequences.
97,money start season different use start season credit keep go get,"When they don't have money to start a season, they don't this is different than when they used to start the season before they have credit and just keep going if they didn't get it."
98,farmer horticulture subsistence rice planting without credit,Farmers will do horticulture for subsistence but not rice planting without a loan.
99,much uncertainty embark season without funding,There's too much uncertainty to embark on a season without funding.
100,disaster unpredictable occur throughout season,Disasters are too unpredictable in when they occur throughout the season.
101,expert speak bank bank microfinance latter problem bank bank,3 more experts to speak to:Banque Agricole or microfinances (the latter have more problems than Banque Agricole)
102,,1
103,bird lot damage rice,The birds will do a lot of damage to the rice.
104,farmer wait rice ready might lose harvest early,"If a farmer waits until the rice is ready, he might lose more than if he harvests early."
105,dr fall expect harvest early,Dr. Fall expects him to harvest early.
106,,2
107,labor available harvester available farmer harvest early expect good market price bird nearby want spend less harvest,"If labor is available, and the harvesters are not available, a farmer will harvest early if he expects a good market price or if birds are nearby or if he wants to spend less on harvest."
108,farmer farm size big enough wait harvester available plot small hire labor,"If a farmer's farm size is big enough, he will wait until harvesters are available, but if his plots are small, he will hire labor."
109,,3
110,mr grow horticulture last year cold dry season make good profit,Mr. D grew tomatoes in last year's cold dry season and made a good profit.
111,year price paddy high rice seed subsidize government pressure farmer grow rice,"But this year, the price of paddy is higher, rice seed is subsidized and the government is pressuring farmers to grow rice."
112,must notice rice horticulture grow time,We must notice that rice and tomatoes are not grown at the same time.
113,farmer might rice result might miss cropping season horticulture,A farmer might do rice and then as a result he might miss the cropping season for tomatoes.
114,one farm two crop year may conflict calendar,"If you have one farm, two crops in the same year may conflict on the calendar."
115,farmer harvest paddy rice late able start horticulture cold dry season,"If a farmer harvests paddy rice late, he won't be able to start tomatoes in the cold dry season."
116,farmer good price horticulture last season matter government say rice grow horticulture think profit even though rice subsidize,"If a farmer had a good price for tomatoes last season, no matter what the government says about rice, he will grow tomatoes again because he's thinking about the profits, even though the rice is subsidized."
117,expected profit horticulture high matter government incentivize rice,"If the expected profit for tomatoes is higher, it doesn't matter what the government does to incentivize rice."
118,half hectare horticulture earn almost twice much farmer one hectare rice,A half hectare of tomatoes earns almost twice as much for the farmer than one hectare of rice.
119,input horticulture high,But the inputs for tomatoes are higher.
120,,4
121,lateness credit last season matter season decision,The lateness of credit last season does matter for this season's decision.
122,might decide plant different crop credit late last year,You might decide to plant different crops if your credit was late last year.
123,farmer afraid risk change tactic crop choice go badly last year access alternative,"Farmers are afraid of risk, so they change tactics if their crop choice went badly last year and they have access to alternatives."
124,farmer may fall credit remittance parental help sale livestock farm income,"Farmers also may fall back on remittances, parental help, sale of livestock and off-farm income."
125,,5
126,last year horticulture sell high price many mr neighbor already plant horticulture year,"Last year, tomatoes sold at a high price and many of Mr. D's neighbors have already planted tomatoes this year."
127,mr late neighbor price seed go,Mr. D is later than his neighbors and the price of seed is going up.
128,price influence crop choice decision,The price does influence the crop choice decision.
129,price seed go might choose crop something else,"If the price of seed is going up, you might choose to crop something else."
130,horticulture one crop access credit get credit might go horticulture,"Tomatoes is one of the crops with access to credit, so if you can get credit, you might go for tomatoes."
131,farmer decide opposite majority banking benefit minority,"Some farmers decide to do the opposite than what the majority is doing, banking on the benefit of being in the minority."
132,decide go majority tend personality trait farmer,Deciding to go against the majority tends to be a personality trait of the farmer.
133,everybody face problem everybody face opposite alone crop,"If you do what everybody does, you face the same problems as everybody faces; if you do the opposite, you're alone with your crop."
134,farmer compare expect profit horticulture increase price seed determine whether seed price high,Farmers will compare the expected profit of tomatoes to the increasing price of seed to determine whether that seed price is too high.
135,dr fall would expect majority farmer would go horticulture price horticulture seed probably much compare expect profit,"Dr. Fall would expect the majority of farmers would go for tomatoes, because the price of tomato seed probably wouldn't be so much compared to the expected profit."
136,last year good year horticulture farmer expect thing year price seed get high enough cut profit,"Last year was a good year for tomatoes, so farmers expect the same thing this year, and the price of seed just can't get high enough to cut into the profits."
137,dr fall expect farmer go horticulture,Dr. Fall expects 50 to 60% of farmers to go for tomatoes.
138,lead factor crop choice last year profit,The leading factor in crop choice is last year's profit.
139,,6
140,mr small farm ha podor,Mr. A has a small farm (0.75 ha) in Podor.
141,past buy certify seed fertilizer sell rice local miller,"In the past, he bought certified seed and fertilizer and sold most of his rice to a local miller."
142,year price fertilizer much high war ukraine,"But this year, the price of fertilizer is much higher because of the war in Ukraine."
143,one part produce rice home consumption two third sale repayment,"One part of produced rice is for home consumption, but two thirds of it is for sale and repayment."
144,even fertilizer price skyrocket farmer option grow rice sale need cash fund household supply subsistence rice grow low quality rice would simply try get high paddy price,"Even if fertilizer prices skyrocket, a farmer doesn't have other options than to grow rice for sale, because he needs cash to fund his household, not just a supply of subsistence rice; he wouldn't grow lower quality rice, he would simply try to get a higher paddy price."
145,matter high fertilizer price farmer purchase input grow sell rice otherwise money buy thing need rice,"No matter how high the fertilizer price, a farmer will purchase inputs to grow and sell rice, because otherwise he doesn't have money to buy the things he needs that aren't rice."
146,senegal river valley almost farmer try sell crop,"In the Senegal River Valley, almost all farmers try to sell some of their crop."
147,rainfed area senegal farmer grow almost everything subsistence worry input quality,"In the rainfed areas of Senegal, farmers grow almost everything for subsistence and don't worry about inputs or quality."
148,proportion rice keep consumption depend size farm size yield big farm tend sell rice,"The proportion of rice kept for consumption depends on the size of the farm and the size of production; if you are a big farm, you tend to sell more rice."
149,big farm might sell small farm might sell third,"A big farm might sell 50 to 60%, a small farm might sell a third."
150,,7
151,suppose mr harvest credit cooperative yet,"Suppose that Mr. A has harvested, but he hasn't repaid his coop yet."
152,aware war ukraine might make food price skyrocket,He is aware that the war in Ukraine might make food prices skyrocket.
153,tricky question people use type event,A tricky question because people aren't used to these types of events.
154,price rice right high people complain food price,The price of rice right now is very high and people are complaining about all food prices.
155,dr fall expect farmer think hold rice credit home consumption past,Dr. Fall expects farmers to think about how to hold more rice back for home consumption than in the past.
156,farmer know face high price food try keep rice,"Farmers know that they are facing high prices for all foods, so they will try to keep more rice for themselves."
157,dr fall expect price paddy high year partly farmer sell less,"Dr. Fall expects the price of paddy to be high this year too, partly because farmers will be selling less."
158,farmer might emphasize horticulture cold dry season expect high price order get enough cash afford food high price,"Farmers might emphasize tomatoes this cold dry season, expecting a high price, in order to get enough cash to afford other foods at their high prices."
159,sometimes people sell horticulture pay credit credit rice,Sometimes people sell tomatoes to pay back credit for rice.
160,sometimes farmer one crop year harvest late,"Sometimes farmers just do one crop a year because they harvest late, etc."
161,dr fall expect farmer double crop year,Dr. Fall expects farmers to double crop this year:
162,grow horticulture cold dry season paddy rainy season keep paddy consumption order surplus cash rice,"Growing tomatoes in the cold dry season and paddy in the rainy season, keeping more paddy for consumption, in order to have a surplus of both cash and rice."
163,everybody aware high price market everything radio,"Everybody is aware of the high prices at the market, also because everything is on the radio."
164,government rely farmer able reduce amount import food make harvester technology available try increase yield,"The government is relying on farmers to be able to reduce the amount of imported food, and is making equipment and technology available to try and increase production."
165,dr fall expect valley really good year rice ministry agriculture prepare program increase farmer access order reduce import,"Dr. Fall expects that the Valley will have a really good year in rice because the Ministry of Agriculture is preparing a program to increase farmer access, in order to reduce imports."
166,farmer grow horticulture rice benefit prevent hunger interested national big picture,"Farmers are growing more tomatoes and rice for their own benefit and to prevent their own hunger, but also because they're interested in the national big picture."
167,farmer aware people afraid famine interested help prevent,"Farmers are aware that people are afraid of famine, so they are interested in helping prevent that."
168,farmer invest help fellow citizen encourage radio spot say farmer integral national strategy avoid famine,"Farmers are invested in helping fellow citizens, which is encouraged by radio spots saying that farmers are integral to the national strategy to avoid famine."
169,government make easy farmer double crop subsidize input new program response war,"The government is making it easier for farmers to double crop by subsidizing inputs, etc., through new programs in response to the war."
170,dr fall think big risk farmer mobilization rainfall rainfed region irrigated region mechanism yield milling tight enough risk increase yield quite low,"Dr. Fall thinks the biggest risk to this farmer mobilization is rainfall in the rainfed regions, but in the irrigated regions, the mechanisms of production and milling are tight enough that the risk of increasing production is quite low."
171,go rainfed zone government try subsidize millet sorghum maize addition rice dr fall expect area yield increase well,"If you go to the rainfed zone, the government is trying to subsidize millet, sorghum and maize in addition to rice, and Dr. Fall expects that the area of production will increase as well."
172,year rain predict good,This year the rains are predicted to be good.
173,,8
174,suppose ms n go market city price prefer import rice brand high,Suppose Ms. N goes to the market in her city and the price of her preferred imported rice brand is very high.
175,urban consumer likely switch local rice import price expensive might find local rice available market,"An urban consumer is likely to switch to local rice if imported price is too expensive, but she might not find local rice available in the market."
176,problem urban consumer like local rice fact like sometimes find,"The problem isn't that urban consumers don't like local rice (in fact, they do like it), but sometimes they can't find any."
177,consumer see rice alternative favorite rice brand go second choice millet sorghum maize,"If a consumer sees any other rice alternative to her favorite rice brand, she will go for it; the second choice is millet, sorghum and maize."
178,millet sorghum maize tend dinner food urban zone rural zone millet use anywhere anytime,"Millet, sorghum and maize tend to be dinner foods in urban zones; in the rural zone, millet is used anywhere, anytime."
179,urban consumer like millet sorghum much rice take much time cook urban consumer always short time,Urban consumers don't like millet and sorghum as much as rice because they take too much time to cook and urban consumers are always short on time.
180,rural woman migrate city process millet sorghum result semi process grain fast cook,"Now rural women are migrating to cities to process millet and sorghum, and the resulting semi-processed grains are faster to cook."
181,usually pound millet farina one step make type couscous second step cook woman rural zone take pound urban woman buy partially process result finish processing home,"Usually you have to pound millet into farina in one step and make it into a type of couscous in a second step before you cook it, but now that women from rural zones are taking over the pounding, urban women can buy the partially processed results and then finish the processing at home."
182,rural zone work convert millet couscous daily chore people know quickly consider part work urban zone people prefer buy semi finished product,"In the rural zones, the work of converting millet to couscous is a daily chore and people know how to do it quickly and consider it as part of their work; in the urban zones, people prefer to buy semi-finished products."
183,,9
184,ms n hear war ukraine predict effect food price,Ms. N has heard about the war in Ukraine and its predicted effect on food prices.
185,dr fall expect people hoard rice people want live day day,Dr. Fall doesn't expect people to hoard rice; people just want to live day-to-day.
186,woman usually go market end month buy barrel oil couple bag rice couple bag sugar hoarding behavior,"Women usually go to the market at the end of the month to buy a barrel of oil, a couple bags of rice, a couple bags of sugar, and so on, but this isn't hoarding behavior."
187,term money people would save hoard common consumer senegal,"In terms of money, people would save through hoarding, but it's just not common for consumers to do that in Senegal."
188,trader may hoard store rice,Traders may hoard stores of rice.
189,union trader importer recently pool resource financial holding hire transportation buy much rice protect future,A union of traders and importers have recently pooled their resources in a financial holding to hire transportation and buy as much rice as they can to protect themselves in the future.
190,dr fall hear argument government union trader importer read paper today,"Dr. Fall hasn't heard any arguments from the government against the union of traders and importers, but he just read about this in the paper today."
191,think government worry government fix price trader importer sell price even store rice,"But he thinks the government won't worry, because if the government fixes the price, then traders and importers have to sell at that price, even if they have stores of rice."
192,dr fall think union trader importer could type speculation monopoly buy rice case would bad matter ready supply country rice protect fellow countryman bad,"Dr. Fall thinks the union of traders and importers could be a type of speculation or monopoly, buying up all the rice, in which case it would be bad; but if it is a matter of being ready to supply their country with rice and protecting their fellow countrymen, then it's not bad."
193,say type union always say act patriotically think increase price restrict supply,"He says these types of unions always say they are acting patriotically, but he thinks it's all about increasing price by restricting supply."
194,,10
195,city local see rice price increase market,City locals have seen rice price increase in their markets.
196,dr fall think people would say government reduce price food,Dr. Fall thinks people would say that the government should reduce the price of food.
197,every person radio say government intervene reduce price,Every person on the radio is saying that the government should intervene to reduce the price.
198,people would say government continue keep price oil gas fix subsidize agriculture reduce price food,People would also say that the government should continue to keep the price of oil and gas fixed and to subsidize agriculture (again to reduce the price of food).
199,people skeptical government reduce food price government enough resource subsidize oil subsidize agriculture pay employee import food reduce price,"Most people are skeptical that the government will reduce food prices, but the government just doesn't have enough resources to subsidize oil, subsidize agriculture, pay its employees, import food, and reduce prices all at once."
200,,11
201,suppose rice import predict insufficient meet national demand,Suppose rice imports are predicted to be insufficient to meet national demand.
202,,12
203,dr fall doubt consumer really know role government think government power anything include control import price senegal price taker,"Dr. Fall doubts that consumers really know the role of the government; they think that the government has the power to do anything, including controlling import prices, but Senegal is a price-taker."
204,majority senegalese believe government control price import case,"The majority of Senegalese believe that the government can control the price of imports, but that isn't the case at all."
205,government try communicate citizen control import price subsidize everything,The government is trying to communicate to its citizens that it can't control import prices and subsidize everything.
206,senegal enter election season opposition lie able fix price get elect,"As Senegal enters election season, the opposition is lying about being able to fix prices if they get elected."
207,,13
208,elderly couple small subsistence farm,An elderly couple own a small subsistence farm.
209,child city get home either covid restriction transportation cost,"Their children are in the city and can't get home, either because of Covid restrictions or transportation costs."
210,local cooperative help elderly couple without child harvest field cooperative goal,"The local cooperative wouldn't help an elderly couple without children to harvest their fields, because cooperatives have their own goals."
211,farmer town intervene socially independently cooperative business order help elderly couple need labor either relate couple socially prominent reason,"But farmers in town will intervene socially, independently of the cooperative business, in order to help an elderly couple in need of labor; either because they are related to the couple, or they're socially prominent, or some other reason."
212,culturally expect help elder go harvest field give product,It is culturally expected to help elders and to go harvest their fields and give them the product.
213,people think bad person help community member need help might get help time need people remember pitch,"People won't think you're a bad person if you don't help out when a community member needs help, but you might then not get help in your time of need because people will remember that you didn't pitch in."
214,,14
215,government plan new irrigation scheme accept application farm land,The government is planning a new irrigation scheme and accepting applications to farm the land there.
216,prioritize woman farmer,They are prioritizing women farmers.
217,mr experienced smallholder large landowner young farmer,Mr. D is [an experienced smallholder   a large landowner   a young farmer].
218,man selfish,Men are very selfish.
219,government prioritize female farmer male farmer must wait get land government mandate probably agree decision,"If the government prioritizes female farmers, male farmers must wait to get land because it's a government mandate, but they probably don't agree with the decision."
220,male farmer might understand wife prioritize get anything expect part irrigated scheme,"Male farmers might not understand why their wives should be prioritized while they don't get anything, because they expect to be part of irrigated schemes."
221,ethnic group conservative gender line even sharp male farmer expect deity household,"Some ethnic groups are very, very conservative, so gender lines are even sharper and male farmers expect to be deities of the household."
222,,15
223,different religious group fanatic group focus religious leader try alternative plan keep holiday go,There are different religious groups: Fanatic groups that focus on the religious leaders will try to have some alternative plans to keep the holidays going.
224,sheep day approach moderate religious family probably worried price livestock holiday anyways good,"Sheep Day is approaching, so more moderate religious families are probably worried about the price of livestock, but they will do the holiday anyways as best as they can."
225,general people religious holiday tighten belt,"In general, people have to do their religious holidays, but they will tighten their belts."
226,people less religious everybody practice allow think right wrong logical way,"People are not more or less religious, everybody does their practices that allow them to think about right and wrong, etc., but in a logical way."
227,holiday method practice religion whether kill sheep chicken still practice religion,"Holidays are methods of practicing religions whether you kill a sheep or a chicken, you're still practicing religion."
228,like covid people go mosque still pray home,"Like in COVID-19, people couldn't go to the mosque, but they still prayed at home."
229,fanatic much extreme less logical,"The fanatics are much more extreme, less logical!"
230,easy go extension agency easy door get,"Easier to go through extension agencies, easier door to get in through."
231,program need collaborate people farmer know,"You can have your own program, but you need to collaborate with people who farmers know."
232,need introduction,You need introductions!
233,srv elaborate network people know,SRV is an elaborate network of people who know each other.
234,get together discussion talk rice,You have to get together to have discussions and talk about rice.
235,rice administrative crop everyone want come work go partner everyone know everyone know program go,"Rice is the most administrative crop everyone wants to come to work on it, you go through the same partners, so everyone knows each other and everyone knows about the programs that are going on."
236,dr fall say hundred people involve definitely many,"Dr. Fall wouldn't say it's hundreds of people involved, but definitely many."
237,research train extension financial organization cooperative statistic department ngo program djika program usaid program,"There's research, training, extension, financial organizations, coops, statistics department, NGO programs, DJIKA programs, USAID programs"
238,network much strong delta area,The networks are much stronger in the Delta area.
239,go podor little far away people come dakar want go,"When you go above Podor, it's a little far away people coming from Dakar just don't want to go there!"
240,reality benefit service delta,"In reality, they're not benefitting from the same services as in the Delta."
241,give opportunity,They're not given the same opportunities.
242,use get use time talk people,"They're also not used to it, because you have to get used to it to have the time to talk to people, etc."
243,try delta zone,They are trying but it's not the same as in the Delta zone.
244,government think constantly,Government is thinking about it constantly.
245,want provide irrigation system podor matam zone,They want to provide more irrigation systems to the Podor Matam zones.
246,try subsidize matam delta,They're trying to subsidize Matam more than Delta.
247,powerful educate farmer organization base delta way keep resource delta,"But the powerful, educated farmer organizations are based in Delta, so they have ways of keeping resources in the Delta!"
248,government know try solve continuously face lobbying delta,"The government knows this and is trying to solve it, but continuously facing lobbying from Delta."
249,farmer matam bakel fight get attention new program lead new organization,Farmers in Matam and Bakel are fighting to get the attention of new programs and to lead new organizations.
250,delta farmer say leader srv reality leader delta zone,"Delta farmers say they're leaders of the SRV but in reality, they're leaders of the Delta zone."
251,matam bakel farmer try head new program less represent otherwise,Matam and Bakel farmers try to head new programs because they're less represented otherwise.
252,delta farmer head start term experience irrigation scheme start,Delta farmers just had a head start in terms of experience because that's where the irrigation schemes started.
253,yet,Not yet.
254,start two three year ago,Only started two or three years ago.
255,need phone use establish yet,"Need to have a phone to use, hasn't been established yet."
256,use extension agent extension one else,Being used by extension agents from SAED but no one else.
257,institute around,That was instituted around 1998.
258,big agribusiness hectare big miller would interested crop modeling modernize farm,Big agribusinesses with 4000 hectares and the big millers would be interested in crop modeling to modernize their farms.
259,private rice grower want information,Private rice growers want information.
260,time people want plant variety cooperative,Most of the time people want to plant the same variety if they're in a coop.
261,big farm pick one two variety,"But the big farms, they'll pick one or two varieties."
262,dr fall say precise term market request well know time whole grain rice come compete,"Dr. Fall says they should be more precise in terms of what the market requests they better know at what time whole grain rice will come and where, so they can compete."
263,precise good professional rice producer need information good position market,"If you're a precise, good, professional rice producer, you need information to have good position in the market."
264,current yield enough constantly compete import market,"Not only is the current production not enough, you're also constantly competing against the import market."
265,promote local rice,You also have to promote your local rice!
266,need know consumer prefer dish variety want mill rice whole grain break,You need to know what consumers prefer for which dishes and what varieties they want for milled rice whole grain or broken.
267,need information import miller handle rice local demand market environment miller environment consumer environment,"Need information about imports, how millers handle rice, local demand market environment, miller environment, consumer environment."
268,senegal religious event people consume lot rice,In Senegal they have religious events where people consume a LOT of rice.
269,get million people come town pilgrimage feed rice,You've got a million people coming to a town in a pilgrimage and you have to feed them all rice!
270,review demand new project matam bakel value new technology try get new technology valley require go network,Review: Demand for new projects in Matam and Bakel; value for new technology; trying to get any new technology into the Valley requires going through the networks.
271,oh yeah,Oh yeah!
272,sometimes make decision may linear,Sometimes they make some decisions which may not be linear.
273,cultivate one crop another use lot fertilizer instead require usually yield ha sometimes people use,"Cultivating one crop or another, or using a lot of fertilizer instead of what is required usually 100 kg ha but sometimes people use 140 or 150."
274,say sometimes farmer know good close farmer extension agency well practice,"But he says that sometimes farmers know best themselves, and the closer to farmers are to extension agencies the better practices they have."
